ID,Group,Bee_Mass_Est_g),time
1,Fall,0.65724,1
2,Fall,0.71906,1
3,Fall,0.44826,1
4,Fall,0.74996,1
5,Fall,0.73266,1
6,Fall,0.68346,1
7,Fall,0.64654,1
8,Fall,0.72766,1
9,Fall,0.80096,1
10,Fall,1.02684,1
11,Fall,NA,1
12,Fall,0.71064,2
13,Fall,0.32444,2
14,Fall,0.76114,2
15,Fall,0.65166,2
16,Fall,0.68664,2
17,Fall,0.38204,2
18,Fall,0.59964,2
19,Fall,0.59966,2
20,Fall,0.56346,2
21,Fall,0.70696,2
22,Fall,0.62254,2
23,Fall,0.32914,2
24,Fall,0.61204,2
25,Fall,0.62036,2
26,Spring,0.76676,3
27,Spring,0.57536,3
28,Spring,0.72276,3
29,Spring,0.61996,3
30,Spring,0.62246,3
31,Spring,0.57564,3
32,Spring,0.62936,3
33,Spring,0.50686,3
34,Spring,0.51546,3
35,Spring,0.34806,3
36,Spring,0.51076,3
37,Spring,0.59866,3
38,Spring,0.62616,3
39,Spring,0.50446,3
40,Spring,0.69446,3
41,Spring,0.47124,3
42,Spring,0.63384,3
43,Spring,0.72296,3